id;famille;nom;unite;categorie;prix_delhaize;promo_delhaize;prix_carrefour;promo_carrefour;prix_colruyt;promo_colruyt;date_releve
bananes;bananes;Bananes;1 kg;🍎 Fruits & Légumes;1,99;;1,89;-20%;1,75;;
pommes;pommes;Pommes Jonagold;2 kg;🍎 Fruits & Légumes;4,49;;4,29;;3,99;;
tomates;tomates;Tomates grappe;1 kg;🍎 Fruits & Légumes;3,29;;2,99;;2,79;;
carottes;carottes;Carottes;1 kg;🍎 Fruits & Légumes;1,49;;1,39;;1,19;;
pdt;pdt;Pommes de terre;2,5 kg;🍎 Fruits & Légumes;3,99;;3,79;;3,49;;
oignons;oignons;Oignons;1 kg;🍎 Fruits & Légumes;1,59;;1,49;;1,29;;
salade;salade;Salade iceberg;pièce;🍎 Fruits & Légumes;1,49;;1,39;;1,25;;
poivrons;poivrons;Poivrons trio;3 pièces;🍎 Fruits & Légumes;2,99;-25%;2,79;;2,59;;
lait;lait;Lait demi-écrémé;1 L;🥛 Crèmerie;1,09;;1,05;;0,95;;
beurre;beurre;Beurre doux;250 g;🥛 Crèmerie;3,29;;2,99;;2,89;;
oeufs;oeufs;Œufs M;12 pièces;🥛 Crèmerie;3,79;-15%;3,49;;3,29;;
yaourt;yaourt;Yaourt nature;4 × 125 g;🥛 Crèmerie;2,19;;1,99;1+1;1,85;;
gouda;gouda;Gouda jeune tranches;300 g;🥛 Crèmerie;3,99;;3,79;;3,49;;
rape;rape;Emmental râpé;200 g;🥛 Crèmerie;2,49;;2,29;;2,19;;
poulet;poulet;Blanc de poulet;500 g;🥩 Viande & Poisson;6,49;-25%;5,99;;5,79;;
hache;hache;Haché porc & veau;500 g;🥩 Viande & Poisson;4,99;;4,79;;4,49;;
saumon;saumon;Pavés de saumon;2 × 125 g;🥩 Viande & Poisson;8,99;;8,49;;7,99;-15%;
jambon;jambon;Jambon cuit;200 g;🥩 Viande & Poisson;3,49;;3,29;;2,99;;
pain;pain;Pain gris tranché;800 g;🍞 Boulangerie;2,59;;2,39;;2,19;;
baguette;baguette;Baguette;pièce;🍞 Boulangerie;1,19;;1,09;;0,99;;
pistolets;pistolets;Pistolets;6 pièces;🍞 Boulangerie;2,10;;;;1,89;;
pates;pates;Spaghetti;500 g;🥫 Épicerie;1,29;;1,19;2e-50;0,99;;
riz;riz;Riz basmati;1 kg;🥫 Épicerie;2,99;;2,79;;2,59;;
sauce;sauce;Sauce tomate basilic;420 g;🥫 Épicerie;1,99;;1,89;;1,69;;
huile;huile;Huile d'olive extra vierge;750 ml;🥫 Épicerie;7,99;-20%;7,49;;6,99;;
cafe;cafe;Café moulu;500 g;🥫 Épicerie;6,49;;5,99;;5,69;-20%;
confiture;confiture;Confiture de fraises;450 g;🥫 Épicerie;2,79;;2,59;;2,39;;
muesli;muesli;Muesli croustillant;750 g;🥫 Épicerie;3,99;;3,69;;3,49;;
chocolat;chocolat;Chocolat noir;100 g;🥫 Épicerie;2,49;1+1;2,29;;2,19;;
frites;frites;Frites surgelées;1 kg;🧊 Surgelés;2,89;;2,69;;2,49;;
epinards;epinards;Épinards en branches;450 g;🧊 Surgelés;2,19;;1,99;;1,89;;
pizza;pizza;Pizza margherita;pièce;🧊 Surgelés;3,49;;3,29;-30%;2,99;;
eau;eau;Eau pétillante;6 × 1,5 L;🥤 Boissons;3,99;;3,79;;3,49;;
jus;jus;Jus d'orange;1 L;🥤 Boissons;2,29;;2,19;;1,99;;
biere;biere;Bière blonde;6 × 33 cl;🥤 Boissons;5,99;-20%;5,79;;5,49;;
pq;pq;Papier toilette;12 rouleaux;🧴 Hygiène & Entretien;6,99;;6,49;-25%;5,99;;
lavevaisselle;lavevaisselle;Tablettes lave-vaisselle;30 pièces;🧴 Hygiène & Entretien;8,99;;8,49;;7,99;1+1;
geldouche;geldouche;Gel douche;500 ml;🧴 Hygiène & Entretien;3,29;;2,99;;2,79;;
lessive;lessive;Lessive liquide;1,5 L;🧴 Hygiène & Entretien;8,49;;7,99;;7,49;;
dentifrice;dentifrice;Dentifrice;2 × 75 ml;🧴 Hygiène & Entretien;2,99;;2,79;;2,59;;
lait-eco;lait;Lait demi-écrémé premier prix;1 L;🥛 Crèmerie;0,89;;0,85;;0,85;;
lait-bio;lait;Lait demi-écrémé bio;1 L;🥛 Crèmerie;1,35;;1,28;;1,29;;
pates-eco;pates;Spaghetti premier prix;500 g;🥫 Épicerie;0,75;;0,69;;0,65;;
cafe-eco;cafe;Café moulu premier prix;500 g;🥫 Épicerie;4,29;;3,99;;3,89;;
pq-eco;pq;Papier toilette premier prix;12 rouleaux;🧴 Hygiène & Entretien;4,99;;4,79;;4,59;;
