batch;poste;nom;delta;unite
Ticket Colruyt 24/08;;Activia yaourt figue 4×125g;1;paquet
Ticket Colruyt 24/08;;Grana Padano râpé (Gran Soresina);3;× 100 g
Ticket Colruyt 24/08;;Garden Gourmet Crunchy Tofu Basil;1;paquet
Ticket Colruyt 24/08;;Vivera Drumsticks végétaux;3;paquet
Ticket Colruyt 24/08;;Œufs frais M (Boni Bio);12;œufs
Ticket Colruyt 24/08;;Laitue iceberg;1;pièce
Ticket Colruyt 24/08;;Raisins bleus sans pépins (Boni);1;× 400 g
Ticket Colruyt 24/08;;Mousseline sans sucres ajoutés (Boni Bio);3;× 350 g
Ticket Colruyt 24/08;;Huile d'olive extra vierge (Filippo Berio);1;L
Ticket Colruyt 24/08;;Beurre de cacahuètes 100% (Boni Plan't);2;× 350 g
Ticket Colruyt 24/08;;Confiture abricot-nectarine (Materne);1;pot
Ticket Colruyt 24/08;;Chocolat noir 85% (Galler);2;× 80 g
Ticket Colruyt 24/08;;Biscuits citron-yuzu (Céréal);1;paquet
Ticket Colruyt 24/08;;Cacao en poudre (Van Houten);1;× 250 g
Ticket Colruyt 24/08;;Gel douche Sanex Dry;3;× 450 ml
Ticket Colruyt 24/08;;Shampooing Ultra Doux avocat-karité;2;× 300 ml
Ticket Colruyt 24/08;;Ail frais;0,28;kg
Ticket Colruyt 24/08;;Poivrons rouges;0,29;kg
Ticket Colruyt 24/08;;Courgettes;0,8;kg
